CASO,R,G,B,CLASE 
13145,209,218,227,1
13146,211,220,227,1
13147,213,222,229,1
13148,216,225,232,1
13149,217,226,233,1
13150,218,227,232,1
13151,218,227,232,1
13152,218,228,230,1
13153,218,228,230,1
13154,218,228,230,1
13155,218,228,230,1
13156,218,228,230,1
13157,217,228,230,1
13158,213,228,231,1
13159,211,229,233,1
13160,210,228,232,1
13161,209,227,231,1
13162,208,226,230,1
13163,207,225,229,1
13164,206,223,230,1
13165,205,222,229,1
13166,204,221,228,1
13167,204,221,228,1
13168,204,221,229,1
13169,204,221,229,1
13170,203,220,228,1
13171,201,218,226,1
13172,198,215,223,1
13173,197,214,224,1
13174,195,213,225,1
13175,195,213,227,1
13176,195,213,225,1
13177,195,213,223,1
13178,194,212,222,1
13179,194,213,220,1
13180,194,213,219,1
13181,194,213,219,1
13182,193,212,218,1
13183,192,211,217,1
13184,192,211,218,1
13185,191,210,217,1
13186,190,208,220,1
13187,189,207,219,1
13188,189,207,221,1
13189,187,206,220,1
13190,186,205,219,1
13191,184,206,219,1
13192,184,206,219,1
13193,183,205,218,1
13194,182,204,217,1
13195,182,204,217,1
13196,181,205,217,1
13197,180,204,216,1
13198,177,204,215,1
13199,176,203,214,1
13200,176,203,214,1
13201,176,203,214,1
13202,174,202,213,1
13203,173,201,212,1
13204,173,201,212,1
13205,173,201,212,1
13206,170,200,211,1
13207,170,200,211,1
13208,170,200,211,1
13209,170,200,211,1
13210,170,199,213,1
13211,169,198,212,1
13212,166,198,211,1
13213,165,197,210,1
13214,164,196,211,1
13215,164,196,211,1
13216,163,196,211,1
13217,163,196,211,1
13218,9,9,9,1
13219,5,5,3,1
13220,230,230,228,1
13221,7,7,5,1
13222,8,9,4,1
13223,15,16,8,1
13224,224,226,215,1
13225,239,241,228,1
13226,14,18,4,1
13227,9,11,6,1
13228,9,11,8,1
13229,221,223,220,1
13230,7,9,6,1
13231,16,19,12,1
13232,226,229,220,1
13233,217,221,207,1
13234,188,192,177,1
13235,221,225,208,1
13236,222,226,209,1
13237,214,221,203,1
13238,203,210,192,1
13239,210,217,201,1
13240,236,243,227,1
13241,222,228,214,1
13242,250,255,244,1
13243,225,231,221,1
13244,231,237,227,1
13245,240,245,238,1
13246,246,251,245,1
13247,229,234,230,1
13248,233,237,236,1
13249,227,231,232,1
13250,238,242,243,1
13251,227,231,232,1
13252,238,242,243,1
13253,230,235,238,1
13254,230,235,239,1
13255,230,235,239,1
13256,230,235,239,1
13257,230,235,239,1
13258,230,235,239,1
13259,230,235,239,1
13260,229,234,238,1
13261,229,234,238,1
13262,229,234,238,1
13263,229,234,238,1
13264,229,234,238,1
13265,229,234,238,1
13266,229,234,238,1
13267,229,234,238,1
13268,229,234,238,1
13269,229,234,237,1
13270,229,234,237,1
13271,229,234,237,1
13272,229,234,237,1
13273,229,234,237,1
13274,229,234,237,1
13275,229,234,238,1
13276,229,234,238,1
13277,230,235,239,1
13278,229,234,238,1
13279,228,233,239,1
13280,228,233,239,1
13281,230,235,241,1
13282,230,235,241,1
13283,229,234,240,1
13284,228,233,239,1
13285,225,232,238,1
13286,225,233,236,1
13287,225,232,238,1
13288,224,232,235,1
13289,224,232,235,1
13290,223,231,234,1
13291,223,231,234,1
13292,223,231,233,1
13293,222,230,232,1
13294,222,230,232,1
13295,222,230,232,1
13296,222,231,230,1
13297,222,231,230,1
13298,222,231,230,1
13299,222,231,230,1
13300,222,230,232,1
13301,220,230,232,1
13302,219,228,233,1
13303,219,228,233,1
13304,219,228,233,1
13305,218,227,232,1
13306,218,227,232,1
13307,217,226,231,1
13308,217,226,231,1
13309,218,227,232,1
13310,217,226,231,1
13311,216,225,230,1
13312,215,224,229,1
13313,213,222,227,1
13314,212,221,226,1
13315,211,220,225,1
13316,211,220,225,1
13317,210,219,226,1
13318,210,219,228,1
13319,209,218,227,1
13320,209,218,227,1
13321,210,219,226,1
13322,212,221,228,1
13323,215,224,231,1
13324,216,225,232,1
13325,217,226,231,1
13326,217,226,231,1
13327,217,227,229,1
13328,217,227,229,1
13329,146,164,112,2
13330,82,100,48,2
13331,132,146,95,2
13332,142,156,107,2
13333,182,193,153,2
13334,134,144,109,2
13335,176,180,153,2
13336,178,186,139,2
13337,126,136,75,2
13338,125,138,58,2
13339,150,164,77,2
13340,157,171,92,2
13341,186,198,132,2
13342,207,219,171,2
13343,185,195,161,2
13344,191,201,174,2
13345,8,15,7,2
13346,4,10,6,2
13347,174,182,171,2
13348,130,139,122,2
13349,138,148,121,2
13350,214,226,190,2
13351,168,181,138,2
13352,161,173,133,2
13353,197,209,173,2
13354,171,182,152,2
13355,145,156,126,2
13356,189,196,163,2
13357,196,204,167,2
13358,202,210,173,2
13359,211,219,180,2
13360,194,200,164,2
13361,122,128,94,2
13362,166,170,143,2
13363,9,8,3,2
13364,9,7,10,2
13365,14,10,11,2
13366,216,219,202,2
13367,169,174,152,2
13368,187,192,172,2
13369,7,10,1,2
13370,6,9,2,2
13371,6,8,5,2
13372,10,12,7,2
13373,139,157,105,2
13374,114,133,78,2
13375,168,182,129,2
13376,137,151,100,2
13377,165,177,131,2
13378,166,177,137,2
13379,188,194,160,2
13380,216,224,173,2
13381,165,176,108,2
13382,154,168,83,2
13383,161,175,87,2
13384,159,174,91,2
13385,189,202,132,2
13386,203,215,165,2
13387,166,176,139,2
13388,201,212,182,2
13389,19,26,18,2
13390,163,171,158,2
13391,114,123,104,2
13392,148,159,129,2
13393,166,179,135,2
13394,165,177,137,2
13395,202,214,178,2
13396,173,184,152,2
13397,159,170,138,2
13398,191,198,164,2
13399,228,236,197,2
13400,205,213,172,2
13401,196,204,163,2
13402,152,158,120,2
13403,162,168,134,2
13404,181,186,156,2
13405,8,7,2,2
13406,20,18,19,2
13407,4,2,3,2
13408,17,16,11,2
13409,201,204,187,2
13410,182,187,167,2
13411,193,197,180,2
13412,14,16,13,2
13413,3,5,4,2
13414,2,4,3,2
13415,13,15,12,2
13416,158,177,122,2
13417,149,168,112,2
13418,201,216,157,2
13419,135,150,91,2
13420,124,137,83,2
13421,153,165,115,2
13422,174,181,137,2
13423,223,233,170,2
13424,166,179,100,2
13425,151,166,73,2
13426,161,177,79,2
13427,156,173,81,2
13428,178,192,115,2
13429,190,203,147,2
13430,160,171,128,2
13431,184,196,160,2
13432,164,173,154,2
13433,113,123,98,2
13434,170,181,147,2
13435,200,213,169,2
13436,114,127,81,2
13437,203,216,173,2
13438,172,184,146,2
13439,153,164,130,2
13440,185,196,162,2
13441,204,212,173,2
13442,230,239,196,2
13443,173,182,137,2
13444,129,138,95,2
13445,165,173,134,2
13446,193,198,166,2
13447,4,2,3,2
13448,8,6,7,2
13449,7,5,6,2
13450,202,204,191,2
13451,178,182,167,2
13452,7,9,4,2
13453,7,9,6,2
13454,6,8,7,2
13455,10,11,13,2
13456,1,2,4,2
13457,4,6,5,2
13458,6,8,7,2
13459,7,9,8,2
13460,142,161,105,2
13461,129,149,88,2
13462,198,214,151,2
13463,149,165,100,2
13464,115,129,67,2
13465,157,171,110,2
13466,215,224,167,2
13467,176,186,123,2
13468,196,208,132,2
13469,136,151,60,2
13470,127,144,40,2
13471,152,170,62,2
13472,151,169,69,2
13473,156,171,86,2
13474,171,186,121,2
13475,168,180,130,2
13476,181,194,151,2
13477,224,236,200,2
13478,202,213,181,2
13479,206,216,189,2
13480,188,198,174,2
13481,141,151,124,2
13482,133,144,112,2
13483,161,173,135,2
13484,212,225,181,2
13485,174,188,139,2
13486,129,143,94,2
13487,191,204,160,2
13488,184,196,156,2
13489,134,146,110,2
13490,192,204,166,2
13491,208,220,174,2
13492,196,206,156,2
13493,149,159,109,2
13494,112,121,74,2
13495,204,212,171,2
13496,209,215,181,2
13497,195,199,172,2
13498,6,5,1,2
13499,19,18,14,2
13500,208,209,201,2
13501,182,184,171,2
13502,193,197,183,2
13503,19,22,13,2
13504,6,8,7,2
13505,6,7,11,2
13506,4,5,10,2
13507,3,4,6,2
13508,5,6,8,2
13509,3,5,4,2
13510,162,182,123,2
13511,153,173,110,2
13512,225,242,172,2
13513,172,190,116,2
13514,110,126,53,2
13515,138,154,81,2
13516,192,204,132,2
13517,205,218,139,2
13518,176,191,100,2
13519,141,158,54,2
13520,132,151,35,2
13521,147,166,50,2
13522,145,164,56,2
13523,146,163,69,2
13524,159,175,102,2
13525,171,185,126,2
13526,177,191,138,2
13527,176,192,145,2
13528,184,199,156,2
13529,193,208,169,2
13530,193,207,171,2
13531,162,176,140,2
13532,150,164,128,2
13533,137,152,111,2
13534,202,218,173,2
13535,202,218,169,2
13536,124,141,87,2
13537,124,141,89,2
13538,205,221,174,2
13539,160,176,131,2
13540,125,140,99,2
13541,201,214,171,2
13542,170,183,130,2
13543,220,231,175,2
13544,216,227,171,2
13545,170,181,125,2
13546,159,169,117,2
13547,212,221,176,2
13548,178,184,146,2
13549,210,215,185,2
13550,187,190,171,2
13551,202,204,191,2
13552,7,6,2,2
13553,10,9,5,2
13554,185,185,177,2
13555,184,186,175,2
13556,199,201,188,2
13557,20,23,12,2
13558,4,6,5,2
13559,1,2,6,2
13560,7,7,17,2
13561,5,5,13,2
13562,3,4,9,2
13563,7,9,8,2
13564,10,12,11,2
13565,6,7,9,2
13566,4,5,7,2
13567,144,164,105,2
13568,155,175,112,2
13569,228,245,174,2
13570,171,190,109,2
13571,117,135,53,2
13572,146,164,78,2
13573,173,187,102,2
13574,166,181,90,2
13575,164,181,79,2
13576,174,192,80,2
13577,158,178,53,2
13578,136,156,31,2
13579,137,158,41,2
13580,149,167,67,2
13581,155,172,92,2
13582,165,182,114,2
13583,177,193,131,2
13584,157,174,119,2
13585,170,187,133,2
13586,165,181,132,2
13587,200,216,169,2
13588,161,177,130,2
13589,110,126,77,2
13590,186,202,153,2
13591,216,233,179,2
13592,172,189,134,2
13593,108,125,70,2
13594,166,183,128,2
13595,192,209,157,2
13596,134,150,103,2
13597,157,173,128,2
13598,182,196,147,2
13599,147,161,102,2
13600,218,230,168,2
13601,186,198,136,2
13602,143,154,94,2
13603,179,190,134,2
13604,177,187,137,2
13605,205,212,170,2
13606,196,202,168,2
13607,154,158,135,2
13608,164,167,150,2
13609,211,211,199,2
13610,189,190,176,2
13611,174,177,160,2
13612,191,194,177,2
13613,9,12,5,2
13614,8,10,9,2
13615,8,8,20,2
13616,1,2,7,2
13617,1,2,4,2
13618,21,23,20,2
13619,204,206,203,2
13620,2,4,3,2
13621,162,181,125,2
13622,158,178,115,2
13623,215,233,159,2
13624,168,188,103,2
13625,132,151,61,2
13626,146,166,71,2
13627,158,173,78,2
13628,143,160,58,2
13629,160,178,68,2
13630,196,216,95,2
13631,168,189,58,2
13632,121,142,11,2
13633,130,151,30,2
13634,144,163,56,2
13635,143,161,75,2
13636,159,177,103,2
13637,172,189,119,2
13638,182,201,135,2
13639,149,168,104,2
13640,149,167,105,2
13641,213,231,171,2
13642,159,177,117,2
13643,128,146,86,2
13644,160,178,118,2
13645,206,224,164,2
13646,131,149,89,2
13647,113,131,71,2
13648,162,180,122,2
13649,158,175,121,2
13650,170,187,135,2
13651,173,189,140,2
13652,157,171,118,2
13653,161,176,111,2
13654,184,199,130,2
13655,160,175,106,2
13656,177,192,125,2
13657,190,202,140,2
13658,174,185,129,2
13659,181,190,145,2
13660,175,183,146,2
13661,128,132,107,2
13662,165,168,149,2
13663,208,211,194,2
13664,204,207,188,2
13665,151,153,132,2
13666,168,172,149,2
13667,197,201,178,2
13668,12,16,2,2
13669,2,3,7,2
13670,4,4,12,2
13671,4,5,7,2
13672,13,16,7,2
13673,197,200,191,2
13674,179,182,175,2
13675,17,19,16,2
13676,184,203,148,2
13677,143,163,100,2
13678,180,198,122,2
13679,155,175,88,2
13680,129,149,52,2
13681,116,137,36,2
13682,136,153,51,2
13683,149,167,59,2
13684,167,186,70,2
13685,204,224,99,2
13686,165,187,53,2
13687,115,137,3,2
13688,129,151,27,2
13689,131,150,42,2
13690,124,143,53,2
13691,156,175,96,2
13692,188,209,132,2
13693,201,222,147,2
13694,159,179,107,2
13695,148,168,96,2
13696,177,197,125,2
13697,153,173,102,2
13698,116,136,65,2
13699,166,186,115,2
13700,198,218,149,2
13701,136,155,89,2
13702,88,107,43,2
13703,198,216,154,2
13704,138,156,98,2
13705,128,145,91,2
13706,195,212,160,2
13707,150,168,110,2
13708,147,164,94,2
13709,161,177,102,2
13710,172,188,115,2
13711,172,188,117,2
13712,185,197,131,2
13713,177,188,128,2
13714,193,203,153,2
13715,138,146,105,2
13716,128,133,103,2
13717,151,155,132,2
13718,208,212,189,2
13719,180,184,157,2
13720,188,191,160,2
13721,188,194,160,2
13722,186,193,159,2
13723,204,211,180,2
13724,10,11,16,2
13725,2,3,7,2
13726,10,13,4,2
13727,210,214,199,2
13728,162,165,154,2
13729,7,9,6,2
13730,177,195,143,2
13731,168,188,127,2
13732,168,186,110,2
13733,132,152,63,2
13734,162,182,83,2
13735,139,160,55,2
13736,131,148,42,2
13737,134,152,42,2
13738,162,181,63,2
13739,180,200,75,2
13740,160,182,48,2
13741,117,139,5,2
13742,111,133,9,2
13743,122,142,31,2
13744,140,159,67,2
13745,185,204,122,2
13746,211,233,151,2
13747,195,218,136,2
13748,156,179,97,2
13749,128,152,68,2
13750,157,181,97,2
13751,147,170,88,2
13752,109,132,52,2
13753,151,174,96,2
13754,158,180,105,2
13755,96,118,46,2
13756,107,128,61,2
13757,195,216,151,2
13758,108,128,67,2
13759,153,173,114,2
13760,195,214,158,2
13761,126,144,82,2
13762,142,160,84,2
13763,123,140,60,2
13764,173,190,112,2
13765,198,214,139,2
13766,171,186,117,2
13767,198,212,150,2
13768,162,172,119,2
13769,122,131,86,2
13770,149,157,120,2
13771,200,207,176,2
13772,205,211,177,2
13773,187,193,155,2
13774,179,186,144,2
13775,192,200,153,2
13776,182,191,144,2
13777,181,190,147,2
13778,226,233,202,2
13779,219,224,204,2
13780,3,5,4,2
13781,205,210,187,2
13782,148,153,133,2
13783,201,205,190,2
13784,1,1,1,2
13785,1,1,1,2
13786,1,1,1,2
13787,1,1,1,2
13788,1,1,1,2
13789,1,1,1,2
13790,1,1,1,2
13791,193,212,157,2
13792,171,191,128,2
13793,164,183,104,2
13794,131,152,59,2
13795,154,175,72,2
13796,129,151,42,2
13797,124,142,34,2
13798,133,151,39,2
13799,153,172,54,2
13800,154,174,49,2
13801,147,169,35,2
13802,118,139,8,2
13803,121,141,30,2
13804,158,178,83,2
13805,187,207,120,2
13806,172,194,109,2
13807,156,180,94,2
13808,140,165,74,2
13809,123,148,57,2
13810,147,172,80,2
13811,153,178,87,2
13812,119,143,55,2
13813,129,153,69,2
13814,139,162,82,2
13815,94,116,41,2
13816,117,138,69,2
13817,164,185,120,2
13818,114,134,71,2
13819,172,192,131,2
13820,196,216,155,2
13821,125,144,78,2
13822,134,153,74,2
13823,132,150,66,2
13824,173,191,109,2
13825,176,193,115,2
13826,179,195,122,2
13827,214,229,162,2
13828,186,197,141,2
13829,125,135,85,2
13830,159,167,126,2
13831,225,233,196,2
13832,208,215,173,2
13833,171,179,130,2
13834,171,180,125,2
13835,179,189,129,2
13836,199,211,149,2
13837,189,200,144,2
13838,208,217,174,2
13839,214,220,192,2
13840,200,204,189,2
13841,210,213,206,2
13842,201,207,179,2
13843,177,183,155,2
13844,149,154,131,2
13845,169,174,154,2
13846,10,13,2,2
13847,1,1,1,2
13848,1,1,1,2
13849,1,1,1,2
13850,1,1,1,2
13851,1,1,1,2
13852,1,1,1,2
13853,1,1,1,2
13854,207,226,170,2
13855,167,188,123,2
13856,155,174,92,2
13857,131,153,55,2
13858,147,169,61,2
13859,120,143,29,2
13860,119,137,25,2
13861,134,153,38,2
13862,144,163,47,2
13863,133,153,30,2
13864,138,159,28,2
13865,124,145,14,2
13866,120,140,27,2
13867,167,187,88,2
13868,175,196,105,2
13869,140,163,73,2
13870,134,159,68,2
13871,145,170,76,2
13872,135,161,64,2
13873,144,170,71,2
13874,158,184,85,2
13875,125,150,56,2
13876,108,133,42,2
13877,113,137,53,2
13878,94,117,39,2
13879,134,156,84,2
13880,119,140,75,2
13881,121,141,78,2
13882,194,214,151,2
13883,191,211,148,2
13884,119,139,70,2
13885,120,139,58,2
13886,151,171,86,2
13887,177,197,112,2
13888,162,181,100,2
13889,194,210,135,2
13890,168,182,123,2
13891,133,146,93,2
13892,160,169,124,2
13893,204,213,170,2
13894,187,197,144,2
13895,176,187,127,2
13896,179,190,124,2
13897,160,172,100,2
13898,162,176,99,2
13899,218,231,161,2
13900,172,182,129,2
13901,178,186,147,2
13902,173,178,156,2
13903,191,195,181,2
13904,184,190,162,2
13905,183,190,157,2
13906,188,195,162,2
13907,146,152,124,2
13908,208,213,193,2
13909,1,1,1,2
13910,1,1,1,2
13911,1,1,1,2
13912,1,1,1,2
13913,1,1,1,2
13914,1,1,1,2
13915,1,1,1,2
13916,208,228,165,2
13917,154,176,104,2
13918,143,163,76,2
13919,133,155,54,2
13920,142,165,51,2
13921,119,142,25,2
13922,121,140,25,2
13923,136,155,40,2
13924,138,157,41,2
13925,137,157,34,2
13926,139,160,31,2
13927,129,150,19,2
13928,106,128,2,2
13929,125,146,29,2
13930,164,185,82,2
13931,164,185,90,2
13932,125,148,57,2
13933,143,168,76,2
13934,170,196,99,2
13935,154,180,79,2
13936,146,173,70,2
13937,145,172,69,2
13938,109,135,34,2
13939,99,124,30,2
13940,96,120,34,2
13941,103,126,48,2
13942,152,174,102,2
13943,88,109,42,2
13944,130,151,86,2
13945,205,226,161,2
13946,178,199,134,2
13947,109,131,59,2
13948,119,138,57,2
13949,155,175,88,2
13950,179,199,114,2
13951,163,182,100,2
13952,186,202,127,2
13953,223,238,169,2
13954,165,179,118,2
13955,111,124,70,2
13956,157,167,117,2
13957,221,230,183,2
13958,215,226,170,2
13959,185,197,133,2
13960,146,159,89,2
13961,159,172,93,2
13962,170,184,99,2
13963,173,189,101,2
13964,187,202,121,2
13965,143,155,91,2
13966,177,186,141,2
13967,168,174,146,2
13968,197,201,184,2
13969,184,191,160,2
13970,164,171,137,2
13971,158,165,131,2
13972,179,185,159,2
13973,210,215,195,2
13974,5,7,4,2
13975,198,219,150,2
13976,139,162,82,2
13977,133,154,59,2
13978,135,159,49,2
13979,137,160,43,2
13980,123,147,25,2
13981,125,144,28,2
13982,132,151,36,2
13983,146,165,49,2
13984,169,189,68,2
13985,149,170,43,2
13986,127,148,17,2
13987,123,145,18,2
13988,133,154,33,2
13989,155,177,68,2
13990,158,180,80,2
13991,109,132,41,2
13992,155,180,88,2
13993,188,214,117,2
13994,159,186,83,2
13995,139,166,59,2
13996,118,145,38,2
13997,84,111,8,2
13998,103,129,32,2
13999,99,123,35,2
14000,120,143,63,2
14001,162,184,112,2
14002,86,107,40,2
14003,143,164,99,2
14004,202,223,158,2
14005,162,183,116,2
14006,103,125,52,2
14007,123,142,60,2
14008,162,182,95,2
14009,178,198,113,2
14010,194,213,132,2
14011,209,227,151,2
14012,169,186,116,2
14013,124,138,76,2
14014,91,105,46,2
14015,141,154,100,2
14016,194,207,153,2
14017,207,219,155,2
14018,152,165,93,2
14019,150,165,82,2
14020,150,167,75,2
14021,150,167,71,2
14022,169,187,88,2
14023,170,186,97,2
14024,168,181,111,2
14025,128,138,86,2
14026,191,198,165,2
14027,17,22,2,2
14028,20,24,7,2
14029,215,222,191,2
14030,165,172,138,2
14031,166,173,140,2
14032,197,202,179,2
14033,12,14,11,2
14034,186,209,131,2
14035,128,152,66,2
14036,123,145,44,2
14037,129,154,37,2
14038,125,149,25,2
14039,126,151,24,2
14040,130,149,31,2
14041,124,143,27,2
14042,163,182,66,2
14043,203,223,102,2
14044,159,180,53,2
14045,119,140,9,2
14046,125,148,18,2
14047,130,152,26,2
14048,139,162,46,2
14049,140,163,59,2
14050,95,119,25,2
14051,154,179,88,2
14052,190,216,117,2
14053,154,181,76,2
14054,130,158,48,2
14055,110,138,28,2
14056,86,113,8,2
14057,118,144,45,2
14058,114,138,50,2
14059,132,155,75,2
14060,153,175,103,2
14061,110,131,64,2
14062,159,180,115,2
14063,190,211,144,2
14064,151,172,103,2
14065,102,124,51,2
14066,118,140,57,2
14067,168,188,103,2
14068,167,186,104,2
14069,189,208,127,2
14070,188,206,130,2
14071,150,167,96,2
14072,121,136,71,2
14073,106,120,59,2
14074,131,144,88,2
14075,211,225,166,2
14076,186,199,129,2
14077,135,150,69,2
14078,120,137,45,2
14079,129,147,47,2
14080,153,172,65,2
14081,161,180,73,2
14082,181,198,102,2
14083,158,172,97,2
14084,173,184,128,2
14085,221,228,194,2
14086,221,226,203,2
14087,186,192,164,2
14088,164,171,138,2
14089,182,189,158,2
14090,4,5,10,2
14091,1,1,3,2
14092,1,1,1,2
14093,1,1,1,2
14094,1,1,1,2
14095,1,1,1,2
14096,1,1,1,2
14097,1,1,1,2
14098,1,1,1,2
14099,173,197,113,2
14100,117,142,50,2
14101,112,135,27,2
14102,115,140,20,2
14103,108,133,5,2
14104,129,154,26,2
14105,138,158,37,2
14106,121,140,24,2
14107,148,167,51,2
14108,198,218,97,2
14109,154,175,46,2
14110,118,141,7,2
14111,127,150,20,2
14112,135,159,39,2
14113,119,142,34,2
14114,97,122,28,2
14115,146,172,81,2
14116,187,215,115,2
14117,150,179,73,2
14118,121,150,40,2
14119,126,156,44,2
14120,116,145,37,2
14121,126,154,52,2
14122,127,153,62,2
14123,132,157,76,2
14124,124,147,75,2
14125,136,159,91,2
14126,170,192,127,2
14127,175,198,130,2
14128,142,165,95,2
14129,101,123,48,2
14130,140,162,80,2
14131,155,175,90,2
14132,146,165,83,2
14133,169,188,107,2
14134,197,215,139,2
14135,183,200,129,2
14136,116,131,66,2
14137,71,85,24,2
14138,112,126,67,2
14139,228,242,181,2
14140,200,212,146,2
14141,170,184,109,2
14142,137,153,65,2
14143,118,136,37,2
14144,125,144,37,2
14145,145,165,54,2
14146,164,184,73,2
14147,204,222,122,2
14148,165,179,100,2
14149,202,213,157,2
14150,205,209,194,2
14151,191,196,174,2
14152,202,208,182,2
14153,172,179,148,2
14154,184,190,164,2
14155,4,4,12,2
14156,1,1,1,2
14157,1,1,1,2
14158,1,1,1,2
14159,1,1,1,2
14160,1,1,1,2
14161,1,1,1,2
14162,1,1,1,2
14163,164,189,98,2
14164,110,136,37,2
14165,101,128,15,2
14166,103,129,6,2
14167,130,155,25,2
14168,142,167,40,2
14169,122,143,22,2
14170,109,130,9,2
14171,164,186,62,2
14172,136,159,29,2
14173,114,137,3,2
14174,131,157,24,2
14175,145,170,43,2
14176,112,137,20,2
14177,106,133,30,2
14178,140,168,68,2
14179,185,212,107,2
14180,148,177,67,2
14181,116,146,32,2
14182,144,174,62,2
14183,143,172,66,2
14184,123,151,51,2
14185,134,160,73,2
14186,126,150,72,2
14187,98,121,51,2
14188,153,176,108,2
14189,176,199,129,2
14190,163,189,116,2
14191,137,161,83,2
14192,98,123,40,2
14193,147,171,85,2
14194,145,168,80,2
14195,129,151,68,2
14196,130,151,72,2
14197,168,188,116,2
14198,170,190,121,2
14199,117,133,70,2
14200,67,83,21,2
14201,110,125,66,2
14202,190,204,142,2
14203,208,224,153,2
14204,144,159,78,2
14205,103,120,24,2
14206,113,133,22,2
14207,134,155,34,2
14208,148,170,44,2
14209,146,167,48,2
14210,170,189,84,2
14211,153,167,88,2
14212,203,214,158,2
14213,205,210,188,2
14214,186,192,164,2
14215,159,166,133,2
14216,178,185,154,2
14217,8,9,14,2
14218,1,1,3,2
14219,1,1,3,2
14220,156,183,86,2
14221,86,113,10,2
14222,100,128,17,2
14223,108,136,17,2
14224,106,135,9,2
14225,129,159,29,2
14226,146,176,46,2
14227,113,143,13,2
14228,105,132,3,2
14229,137,164,35,2
14230,132,159,28,2
14231,123,150,19,2
14232,132,159,26,2
14233,123,150,17,2
14234,109,135,8,2
14235,130,158,39,2
14236,150,179,63,2
14237,144,171,54,2
14238,133,162,44,2
14239,128,157,41,2
14240,137,165,54,2
14241,145,173,71,2
14242,110,136,45,2
14243,98,122,44,2
14244,97,120,48,2
14245,85,110,42,2
14246,159,185,114,2
14247,190,217,140,2
14248,154,184,98,2
14249,111,140,47,2
14250,109,139,41,2
14251,138,165,68,2
14252,141,168,75,2
14253,109,133,49,2
14254,141,163,88,2
14255,185,206,139,2
14256,164,184,121,2
14257,116,134,76,2
14258,67,85,27,2
14259,103,121,61,2
14260,170,186,121,2
14261,178,196,120,2
14262,116,135,45,2
14263,100,122,11,2
14264,128,153,25,2
14265,137,165,18,2
14266,149,177,30,2
14267,128,151,19,2
14268,176,196,85,2
14269,166,180,101,2
14270,217,227,174,2
14271,208,214,188,2
14272,199,204,172,2
14273,192,199,155,2
14274,170,177,135,2
14275,182,187,155,2
14276,5,5,5,2
14277,5,6,1,2
14278,196,198,187,2
14279,6,4,15,2
14280,4,4,6,2
14281,8,8,10,2
14282,9,7,18,2
14283,1,1,3,2
14284,2,2,4,2
14285,3,3,1,2
14286,3,3,5,2
14287,5,4,9,2
14288,9,9,11,2
14289,8,8,10,2
14290,2,2,4,2
14291,3,3,5,2
14292,3,3,5,2
14293,12,12,14,2
14294,8,8,8,2
14295,154,182,80,2
14296,83,112,6,2
14297,99,127,17,2
14298,104,133,15,2
14299,103,133,9,2
14300,127,158,28,2
14301,145,177,44,2
14302,119,151,16,2
14303,123,153,23,2
14304,130,160,30,2
14305,126,153,24,2
14306,123,150,17,2
14307,111,139,3,2
14308,156,185,59,2
14309,152,180,57,2
14310,133,161,38,2
14311,131,159,38,2
14312,125,154,36,2
14313,117,145,35,2
14314,115,143,43,2
14315,91,117,28,2
14316,81,105,27,2
14317,87,110,38,2
14318,104,130,59,2
14319,182,208,135,2
14320,187,215,131,2
14321,135,166,73,2
14322,104,137,33,2
14323,117,150,43,2
14324,129,160,56,2
14325,133,163,65,2
14326,119,145,58,2
14327,162,186,110,2
14328,198,220,155,2
14329,161,183,121,2
14330,134,154,95,2
14331,82,102,43,2
14332,107,126,62,2
14333,157,177,105,2
14334,156,176,91,2
14335,100,122,22,2
14336,102,126,6,2
14337,141,168,29,2
14338,140,170,14,2
14339,134,164,8,2
14340,144,168,32,2
14341,183,203,92,2
14342,188,203,122,2
14343,224,235,179,2
14344,201,209,172,2
14345,168,175,141,2
14346,184,191,149,2
14347,218,226,177,2
14348,189,198,145,2
14349,164,172,123,2
14350,183,189,155,2
14351,9,9,7,2
14352,194,196,182,2
14353,200,204,181,2
14354,201,204,183,2
14355,11,12,6,2
14356,6,5,10,2
14357,7,5,16,2
14358,13,14,9,2
14359,6,5,11,2
14360,10,8,21,2
14361,14,14,14,2
14362,1,1,3,2
14363,2,2,4,2
14364,14,15,9,2
14365,14,13,19,2
14366,6,5,11,2
14367,7,7,9,2
14368,2,2,4,2
14369,4,4,6,2
14370,6,6,8,2
14371,7,7,9,2
14372,2,2,4,2
14373,4,4,6,2
14374,6,6,6,2
14375,5,5,3,2
14376,136,164,62,2
14377,104,132,22,2
14378,114,143,25,2
14379,113,143,19,2
14380,130,161,31,2
14381,137,169,36,2
14382,115,147,14,2
14383,108,137,9,2
14384,124,154,24,2
14385,122,149,20,2
14386,113,140,9,2
14387,111,138,5,2
14388,163,192,66,2
14389,143,171,50,2
14390,118,146,25,2
14391,118,146,27,2
14392,109,138,20,2
14393,91,119,9,2
14394,94,120,21,2
14395,96,121,30,2
14396,88,113,32,2
14397,88,112,36,2
14398,127,151,77,2
14399,196,223,144,2
14400,171,199,112,2
14401,113,143,47,2
14402,105,136,32,2
14403,130,162,53,2
14404,119,148,40,2
14405,127,155,53,2
14406,130,156,65,2
14407,181,205,127,2
14408,198,219,152,2
14409,139,159,96,2
14410,150,168,108,2
14411,101,120,56,2
14412,106,123,53,2
14413,158,177,96,2
14414,167,186,94,2
14415,113,135,27,2
